Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2000","2000","kg","3.97","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2001","2001","kg","4.03","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2002","2002","kg","4.07","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2003","2003","kg","4.08","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2004","2004","kg","4.18","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2005","2005","kg","4.12","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2006","2006","kg","4.16","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2007","2007","kg","4.36","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2008","2008","kg","4.41","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2009","2009","kg","4.45","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2010","2010","kg","4.38","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2011","2011","kg","4.13","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2012","2012","kg","4.11","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","2013","2013","kg","3.69","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1992","1992","kg","61.21","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1993","1993","kg","58.8","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1994","1994","kg","54.97","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1995","1995","kg","53.11","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1996","1996","kg","49.93","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1997","1997","kg","48.87","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1998","1998","kg","47.09","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","1999","1999","kg","40.91","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2000","2000","kg","39.86","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2001","2001","kg","45.58","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2002","2002","kg","50.04","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2003","2003","kg","51.75","Fc","Calculated data"
